,status_efflux,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
116,1.0,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,FELGMEQIXOGIFQ-UHFFFAOYSA-N,FELGMEQIXOGIFQ
117,1.0,Cc1c(OCC(F)(F)F)ccnc1C[S+](O)c1nc2ccccc2[nH]1,VFUBXUWHFXDXQC-UHFFFAOYSA-N,VFUBXUWHFXDXQC
118,0.0,C[C@@H]1CCCC=C[C@@H]2C[C@H](O)C[C@H]2[C@@H](O)C=CC(=O)O1,KQNZDYYTLMIZCT-QMIVOQANSA-N,KQNZDYYTLMIZCT
119,1.0,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,QZYYPQAYSFBKPW-UHFFFAOYSA-N,QZYYPQAYSFBKPW
120,0.0,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N,BGRJTUBHPOOWDU
121,0.0,O=C(C=Cc1ccc(O)cc1)CC(=O)CCc1ccc(O)cc1,AWUBJLRYWHOLFW-UHFFFAOYSA-N,AWUBJLRYWHOLFW
122,0.0,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,DKYWVDODHFEZIM-UHFFFAOYSA-N,DKYWVDODHFEZIM
123,0.0,COC(=O)C1=C(C(=O)Nc2cccnc2Cl)N(c2ccc(OC)cc2[N+](=O)[O-])C(c2ccc(C)cc2)=CC1c1ccc(OC)cc1OC,OCTDARMVCSNXNY-UHFFFAOYSA-N,OCTDARMVCSNXNY
124,0.0,CSc1nc(-c2ccc(C)cc2)c(C#N)c(=O)[nH]1,NNIQEEQFVMOEPQ-UHFFFAOYSA-N,NNIQEEQFVMOEPQ
125,0.0,CC[C@]12C=CCN3CC[C@@]4(c5ccc(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32,CXBGOBGJHGGWIE-ACSXSLCXSA-N,CXBGOBGJHGGWIE
126,0.0,N#Cc1c(=O)c2cc([N+](=O)[O-])ccc2n2c1[nH]c1ccccc12,MLEQRFGZOBZSCD-UHFFFAOYSA-N,MLEQRFGZOBZSCD
127,0.0,CC(=O)OC1C(=O)C(O)C(C)OC1OC1CC2(C)C3CC=C4C(CC(=O)C(O)C4(C)C)C3(C)C(=O)CC2(C)C1C(C)(O)C(=O)C=CC(C)(C)O,FFCRLXXNYMRJIQ-UHFFFAOYSA-N,FFCRLXXNYMRJIQ
128,1.0,CN1CC[C@]23c4c5ccc(O[C@@H]6OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,WAEXKFONHRHFBZ-LQISCJLJSA-N,WAEXKFONHRHFBZ
129,1.0,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)C[C@@H](O)[C@]4(C)[C@H]3C[C@H](O)[C@]12C,AOSPYUPNJFPJIW-GWRNRHMASA-N,AOSPYUPNJFPJIW
