molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
2524434,5.1,CC1(C)C(=O)C(C#N)=C[C@]2(C)[C@H]3CC[C@]4(C)CCC[C@H]4[C@@H]3CC[C@@H]12,XZVXQIBHMFEQPK-KIHPVRBWSA-N,Q96T53
1613782,5.1,CCNC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,RZRQJICXYQPEQJ-YKEYHJQHSA-N,Q96T53
1950275,6.16,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cn1cc(CCCc2ccccc2)nn1)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,VIVIFJSCGWLIIQ-DZUOILHNSA-N,Q96T53
2522466,8.77,Cc1nc(C(F)(F)F)ccc1COc1cc(Cl)c2cc(CC(=O)O)sc2c1Cl,RWBDAOBCFDZDSF-UHFFFAOYSA-N,Q96T53
2527696,8.07,O=C(O)c1ccc2oc(SCc3ccc(Cl)cc3Cl)nc2c1,XJWRLMFEUPVROI-UHFFFAOYSA-N,Q96T53
2517724,9.89,Cc1nc2ncnn2c(N)c1Cc1ccc(Br)c(OC(F)F)n1,AZHBLVQIWNQJLF-UHFFFAOYSA-N,Q96T53
2525734,9.25,Cc1nc2nonc2c(N)c1CN1CCC(OC(F)(F)F)CC1,WGCQGXYLXMBLPP-UHFFFAOYSA-N,Q96T53
2494156,10.55,Cc1nc2nonc2c(N)c1Cn1ccc(-c2cccc(C(F)(F)F)n2)n1,PEMOKRBTCSJWJN-UHFFFAOYSA-N,Q96T53
2502202,10.18,COc1cc(C(F)(F)F)ccc1Cc1c(C)nc2nonc2c1N,QZAGZJOGIKVNCE-UHFFFAOYSA-N,Q96T53
2529794,10.7,Cc1nc2nonc2c(N)c1Cc1ccc(C#N)c(NC2CC2)n1,FFSUJBAEJTXBRA-UHFFFAOYSA-N,Q96T53
84592,4.06,CC(C)C[C@H](N)C(=O)O,ROHFNLRQFUQHCH-YFKPBYRVSA-N,Q01650
2735991,4.08,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CC(=O)C(Br)=C[C@]3(C)[C@H]1CC2,FBRNKWMVKROLNN-VRBUCKFRSA-N,Q96T53
2736112,5.1,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CC(=O)C(C#N)=C[C@]3(C)[C@H]1CC2,IWDCXOKCJYHVAW-BGZMIMFDSA-N,Q96T53
1620,5.66,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,AQIXAKUUQRKLND-UHFFFAOYSA-N,Q96FL8
2765789,5.7,Cc1[nH]cnc1CSCCNc1ncccn1,MNGRAPYYTJTLKV-UHFFFAOYSA-N,Q96FL8
2781738,4.74,CNC(=O)COc1ccc(C2=C(C#N)C3N=C4C=CC=CC4N3C(NC(=O)c3cccc(C[C@H](N)C(=O)O)c3)=C2C#N)cc1,AUYQRICOEPWGIG-VSRGENKSSA-N,Q01650
