molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
37650,7.21,Cn1c2cccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,RDMBCGVGRBUTKT-UHFFFAOYSA-N,P33527
37094,6.86,CCOC(=O)Cn1c2ccc([N+](=O)[O-])cc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,WDEYYJCTUQWQCT-UHFFFAOYSA-N,P33527
37065,7.05,Cn1c2ccnc(Cl)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,PFTRTEKHKPGIAI-UHFFFAOYSA-N,P33527
37397,7.15,Cn1c2ccnc(N3CCOCC3)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,QBYAEFPHWWOQHK-UHFFFAOYSA-N,P33527
37267,6.96,Cn1c2nccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,KGDYDDZERXXGQS-UHFFFAOYSA-N,P33527
37217,6.64,Cn1c2cccc(C(N)=O)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,VMVGGLFKABPLBA-UHFFFAOYSA-N,P33527
37401,6.97,Cn1c2ccnc(NCc3ccccn3)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,OCIIEYOWWOUETK-UHFFFAOYSA-N,P33527
36866,6.94,CNc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,AGHKIFOPIORNFQ-UHFFFAOYSA-N,P33527
37649,6.91,CCOC(=O)n1c2cccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,IQUNXJBJPSVBOX-UHFFFAOYSA-N,P33527
37244,7.48,Cc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,DQRJVPCIGZXELF-UHFFFAOYSA-N,P33527
38398,6.57,NC(=O)c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1ccncc1,BLIMNWSQDQYNMP-UHFFFAOYSA-N,P33527
37486,5.91,Cc1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,FHHKQICOQJWLCF-UHFFFAOYSA-N,P33527
36277,5.9,Cc1cc(C#N)c2c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n(C)c2n1,MECOLUCWZLXWNX-UHFFFAOYSA-N,P33527
