,SMILES_raw,status_influx,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
65,COC(=O)N[C@@H](C)C(=O)N1CCC(CCc2c(N)nc(C)nc2Cl)CC1,Substrate,COC(=O)NC(C)C(=O)N1CCC(CCc2c(N)nc(C)nc2Cl)CC1,CTAGBUIPLIEQID-UHFFFAOYSA-N,CTAGBUIPLIEQID
66,Cc1nc(N)c(CCC2CCN(C(=O)[C@H](C)NC(=O)c3cnc(C)s3)CC2)c(Cl)n1,Substrate,Cc1nc(N)c(CCC2CCN(C(=O)C(C)NC(=O)c3cnc(C)s3)CC2)c(Cl)n1,KLRWUOFULIPURB-UHFFFAOYSA-N,KLRWUOFULIPURB
67,Cc1nc(Cl)nc(N)c1CCC1CCN(C(=O)[C@H](C)NC(=O)c2cn[nH]c2C)CC1,Substrate,Cc1n[nH]cc1C(=O)NC(C)C(=O)N1CCC(CCc2c(C)nc(Cl)nc2N)CC1,XMPTZLSWBARYOE-UHFFFAOYSA-N,XMPTZLSWBARYOE
68,Cc1nc(C(F)(F)F)nc(N)c1CCC1CCN(C(=O)[C@H](C)NC(=O)c2ccnn2C)CC1,Substrate,Cc1nc(C(F)(F)F)nc(N)c1CCC1CCN(C(=O)C(C)NC(=O)c2ccnn2C)CC1,FJLGBNQKFIHNGX-UHFFFAOYSA-N,FJLGBNQKFIHNGX
69,C[C@H](NC(=O)c1ccn(C)n1)C(=O)N1CCC(CCc2c(N)nc(N)nc2Cl)CC1,Substrate,CC(NC(=O)c1ccn(C)n1)C(=O)N1CCC(CCc2c(N)nc(N)nc2Cl)CC1,DDNFORUESGOAET-UHFFFAOYSA-N,DDNFORUESGOAET
70,C[C@H](NC(=O)C1CC1)C(=O)N1CCC(CCc2c(N)nc(N)nc2Cl)CC1,Substrate,CC(NC(=O)C1CC1)C(=O)N1CCC(CCc2c(N)nc(N)nc2Cl)CC1,OHEQORXVQPCHAQ-UHFFFAOYSA-N,OHEQORXVQPCHAQ
71,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)[C@H](CN)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,Substrate,C[C@@H](O)C(NC(=O)C1CCCN1C(=O)C(CO)NC(=O)C(Cc1cccc2ccccc12)NC(=O)C(CN)NC(=O)C(CO)NC(=O)CN)C(N)=O,OXOPLJKMWZGJTQ-PNAPECLXSA-N,OXOPLJKMWZGJTQ
72,CC1(C)C(=O)C(C#N)=C[C@]2(C)[C@H]3CC[C@]4(C)CCC[C@H]4[C@@H]3CC[C@@H]12,Substrate,CC1(C)C(=O)C(C#N)=C[C@]2(C)[C@H]3CC[C@]4(C)CCC[C@H]4[C@@H]3CC[C@@H]12,XZVXQIBHMFEQPK-KIHPVRBWSA-N,XZVXQIBHMFEQPK
73,CCNC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,Substrate,CCNC(=O)[C@]12CCC(C)(C)C[C@H]1C1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,RZRQJICXYQPEQJ-JMFLSPGUSA-N,RZRQJICXYQPEQJ
74,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cn1cc(CCCc2ccccc2)nn1)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,Substrate,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cn1cc(CCCc2ccccc2)nn1)NC(=O)C(CO)NC(=O)CN)C(N)=O,VIVIFJSCGWLIIQ-UHFFFAOYSA-N,VIVIFJSCGWLIIQ
